Qualitaets_ID;Produktionsauftrag_ID;Fehlerart;Ausschussmenge;Nachbearbeitungsmenge
185293;162738;Montagefehler;322;128
330204;370710;Montagefehler;510;204
82459;788514;Maschinenfehler;355;142
345679;288341;Montagefehler;343;137
93779;620967;Maschinenfehler;29;11
345747;228325;Maschinenfehler;140;56
188412;470600;Materialfehler;298;119
211184;449095;Materialfehler;391;156
361719;698600;Materialfehler;258;103
206415;713749;Maschinenfehler;446;178
