Energie_ID;Produktionsauftrag_ID;Maschinen_ID;Energieverbrauch;Energiekosten
38553;302804;52;18310,7;5493,21
302159;610269;181;10333,4;3100,02
286957;125189;274;21286,0;6385,8
29492;198991;190;7562,1;2268,63
399139;47698;220;4744,8;1423,44
278758;242875;234;10511,2;3153,36
369881;191194;199;7056,6;2116,98
343051;743621;73;6988,7;2096,61
89902;215375;237;9851,4;2955,42
387386;15945;28;13809,6;4142,88
259557;349236;111;14928,0;4478,4
214515;535683;61;3614,0;1084,2
56095;140493;49;4723,2;1416,96
84057;235387;86;6292,8;1887,84
214020;271034;57;2338,8;701,64
378579;260243;130;5479,1;1643,73
67365;614070;190;6709,5;2012,85
370147;762443;162;5563,5;1669,05
220309;128971;291;9237,0;2771,1
