Forecast_ID;Jahr;Monat;Produktgruppe;Geplante_Menge;Tatsaechliche_Menge
4887;2024;4;Kunststoffteile;1792;1755
626;2024;12;Metallkomponenten;88561;97590
627;2021;8;Kunststoffteile;28503;26725
628;2021;7;Motorenteile;24765;27967
1324;2020;12;Kunststoffteile;64788;56813
2443;2023;7;Kunststoffteile;17312;17774
2210;2021;2;Sicherheitsbauteile;96072;84037
2949;2023;1;Elektronik;33746;31984
3220;2022;8;Motorenteile;29183;30475
4818;2021;2;Kunststoffteile;12075;13566
2245;2020;7;Sicherheitsbauteile;36249;33987
1629;2024;2;Sicherheitsbauteile;73869;64461
1257;2025;4;Kunststoffteile;38322;42656
3692;2020;2;Sicherheitsbauteile;36597;33326
2985;2025;8;Metallkomponenten;18373;17484
2696;2020;11;Kunststoffteile;88995;96773
1970;2020;11;Sicherheitsbauteile;53236;52562
642;2020;3;Motorenteile;77948;67103
1659;2024;7;Motorenteile;52782;52964
2877;2025;11;Metallkomponenten;36085;40351
4408;2020;10;Motorenteile;3413;3019
2399;2021;9;Metallkomponenten;71917;76121
2122;2020;2;Motorenteile;19383;17939
3940;2023;10;Elektronik;57319;57729
2300;2022;7;Kunststoffteile;10388;9556
650;2022;12;Elektronik;66687;71619
2890;2022;6;Elektronik;47339;46481
3165;2022;9;Motorenteile;87570;82076
3850;2024;2;Kunststoffteile;77708;75338
1743;2021;8;Kunststoffteile;7450;7458
4542;2022;1;Sicherheitsbauteile;49750;52839
656;2025;7;Getriebeteile;48800;42179
4411;2023;9;Elektronik;11952;12606
3156;2022;7;Motorenteile;55918;51854
2019;2021;2;Getriebeteile;75893;76722
4700;2020;10;Elektronik;69560;75753
1454;2024;12;Elektronik;33683;32101
2731;2024;8;Sicherheitsbauteile;66382;67829
3234;2024;3;Getriebeteile;78714;87839
4793;2021;9;Elektronik;72819;70929
2016;2022;8;Sicherheitsbauteile;94057;103877
4535;2025;9;Getriebeteile;71035;81082
1150;2020;10;Elektronik;69376;72045
4954;2024;11;Motorenteile;86488;91722
669;2022;10;Getriebeteile;44473;46024
2735;2025;12;Sicherheitsbauteile;45942;39111
2447;2025;10;Sicherheitsbauteile;91485;80489
3119;2024;9;Motorenteile;76400;84952
2342;2020;11;Elektronik;57306;60501
4497;2023;8;Getriebeteile;84324;80516
3520;2023;6;Elektronik;23787;24418
4904;2021;5;Metallkomponenten;10589;9930
677;2025;1;Metallkomponenten;3291;2889
3832;2021;12;Motorenteile;66875;61484
931;2021;10;Getriebeteile;92277;82688
3742;2025;12;Sicherheitsbauteile;70336;67828
3125;2021;2;Sicherheitsbauteile;45138;41771
813;2022;3;Getriebeteile;36989;35057
2350;2024;1;Metallkomponenten;33419;31502
2629;2023;5;Getriebeteile;11782;10993
1160;2025;9;Elektronik;95825;103568
4962;2024;6;Sicherheitsbauteile;40612;43950
1778;2022;11;Kunststoffteile;58889;61392
1926;2022;4;Motorenteile;38850;33878
1002;2024;10;Getriebeteile;91296;79266
2903;2024;4;Kunststoffteile;72448;71135
2826;2021;5;Metallkomponenten;9303;9569
2899;2022;12;Elektronik;11306;11038
3984;2023;8;Sicherheitsbauteile;98255;111976
694;2020;4;Elektronik;55499;53013
4916;2022;8;Sicherheitsbauteile;76019;67069
2895;2023;2;Motorenteile;59260;60007
697;2020;5;Motorenteile;45852;51815
698;2020;12;Elektronik;48836;42023
699;2025;3;Kunststoffteile;5595;6046
700;2024;6;Motorenteile;96930;103406
3409;2020;6;Elektronik;89578;92651
1527;2022;10;Metallkomponenten;21946;22799
1779;2025;2;Kunststoffteile;88144;93881
2013;2025;4;Sicherheitsbauteile;27957;26750
3050;2022;7;Getriebeteile;69464;69511
2695;2020;7;Metallkomponenten;29570;30062
3973;2022;5;Motorenteile;95181;103065
4614;2023;5;Metallkomponenten;44199;43128
996;2025;4;Metallkomponenten;84290;92592
4205;2025;10;Kunststoffteile;75693;82018
2166;2021;3;Getriebeteile;73812;84421
3301;2020;11;Kunststoffteile;42353;42656
2704;2021;8;Elektronik;46588;49647
2211;2025;3;Motorenteile;90788;97214
942;2025;3;Getriebeteile;26835;29770
2524;2024;6;Motorenteile;96249;109511
4435;2025;6;Sicherheitsbauteile;16380;17779
3316;2020;2;Kunststoffteile;59900;60671
4715;2024;1;Kunststoffteile;23343;23076
2091;2020;4;Getriebeteile;43800;45083
2094;2022;6;Getriebeteile;15002;14187
914;2021;1;Kunststoffteile;6267;5811
4834;2022;12;Sicherheitsbauteile;58333;49866
724;2025;2;Getriebeteile;84205;74171
3702;2024;10;Metallkomponenten;57210;52695
726;2022;8;Kunststoffteile;84805;87177
4782;2020;10;Kunststoffteile;44585;39750
5000;2025;7;Metallkomponenten;50250;54589
4970;2025;10;Elektronik;87246;92919
730;2021;12;Getriebeteile;82527;80653
731;2025;12;Elektronik;66365;74641
1163;2023;7;Getriebeteile;4145;4202
3521;2024;5;Motorenteile;65703;62999
1524;2021;1;Sicherheitsbauteile;4830;5447
1804;2022;3;Getriebeteile;14421;16346
736;2023;8;Kunststoffteile;35136;30808
2460;2021;1;Kunststoffteile;28738;24866
2480;2024;2;Motorenteile;73392;79539
4968;2023;7;Sicherheitsbauteile;6380;6033
1287;2022;12;Motorenteile;83598;90138
741;2021;7;Metallkomponenten;80180;77494
1709;2021;3;Kunststoffteile;25583;22070
743;2023;5;Kunststoffteile;86404;86422
1658;2025;10;Elektronik;19782;19990
745;2020;2;Elektronik;14224;15636
1042;2023;6;Motorenteile;6969;6310
2832;2021;3;Elektronik;76751;74232
3006;2025;9;Metallkomponenten;78001;83491
981;2025;8;Sicherheitsbauteile;80741;69604
3194;2024;8;Sicherheitsbauteile;87066;91607
751;2020;7;Motorenteile;54389;61637
1348;2020;8;Kunststoffteile;95593;101265
1325;2022;7;Getriebeteile;10765;11520
754;2024;5;Getriebeteile;98095;87773
755;2023;1;Elektronik;69774;76460
806;2022;7;Motorenteile;98282;88842
2737;2022;5;Getriebeteile;17208;17064
2657;2020;7;Kunststoffteile;92512;85243
3752;2023;2;Getriebeteile;31486;27643
4534;2022;1;Motorenteile;80455;87029
4462;2025;1;Metallkomponenten;20050;17910
3178;2021;2;Metallkomponenten;64944;68696
763;2022;6;Elektronik;77639;67492
4642;2023;1;Kunststoffteile;68938;67452
765;2020;3;Metallkomponenten;88329;86182
766;2021;8;Motorenteile;28597;31297
767;2021;1;Motorenteile;75289;84056
3305;2023;6;Getriebeteile;18044;17094
4270;2023;9;Kunststoffteile;50746;56765
848;2021;7;Sicherheitsbauteile;18177;18406
4922;2020;9;Sicherheitsbauteile;34746;37410
2318;2021;3;Motorenteile;10748;10912
773;2020;1;Metallkomponenten;75237;75778
4233;2022;2;Motorenteile;84794;84271
775;2020;3;Getriebeteile;39197;33622
3993;2020;6;Sicherheitsbauteile;69650;76124
3729;2023;2;Elektronik;50056;48216
934;2020;10;Metallkomponenten;26185;26695
3142;2024;8;Metallkomponenten;79303;72147
3828;2021;1;Metallkomponenten;47647;44796
781;2020;8;Metallkomponenten;52986;46275
3805;2020;4;Metallkomponenten;5789;5535
2214;2021;4;Getriebeteile;53452;48370
784;2022;6;Elektronik;76922;65829
1377;2021;12;Getriebeteile;33735;36345
2702;2024;5;Getriebeteile;34959;34828
4444;2022;6;Metallkomponenten;40300;35473
857;2023;6;Elektronik;53253;55585
1081;2023;7;Elektronik;77759;69602
2648;2025;10;Metallkomponenten;98079;86449
4605;2021;8;Elektronik;86227;74452
1934;2023;8;Motorenteile;19477;19727
793;2025;5;Sicherheitsbauteile;48289;46927
2879;2020;7;Metallkomponenten;21426;21289
1333;2020;11;Getriebeteile;16624;16108
2216;2020;6;Kunststoffteile;97059;88660
1734;2020;5;Elektronik;22143;20489
4632;2021;11;Kunststoffteile;97822;108742
3779;2023;10;Getriebeteile;10457;9154
1064;2023;4;Elektronik;5329;4773
