Mitarbeiter_ID;Alter;Abteilung;Weiterbildungen;Krankheitstage;Betriebszugehörigkeit;Leistungsbewertung
681;29;Logistik;8;2;33;88.4
821;28;Vertrieb;5;8;22;73.3
987;54;Vertrieb;0;11;33;70.1
1393;41;Vertrieb;0;10;14;64.4
685;25;Vertrieb;8;10;12;70.9
686;55;Qualität;10;6;29;96.8
687;29;Logistik;4;8;18;78.1
1206;34;Qualität;8;5;9;79.8
689;45;Finanzen;4;5;13;69.5
690;25;Finanzen;11;11;19;75.4
991;60;Finanzen;3;15;2;63.6
903;56;Instandhaltung;11;5;26;78.9
889;63;Produktion;6;9;14;69.7
932;43;Qualität;1;8;15;69.0
695;45;Qualität;11;12;13;85.2
696;45;Vertrieb;7;11;5;76.7
697;54;Qualität;11;6;13;86.1
1241;56;Logistik;1;8;10;71.9
1036;52;Qualität;1;12;11;60.9
700;44;Vertrieb;5;8;25;79.1
1334;60;Qualität;13;8;2;85.2
1243;49;Qualität;4;5;1;70.7
1324;34;Finanzen;5;2;1;66.1
704;37;Vertrieb;3;6;15;69.7
705;30;Qualität;1;11;25;53.4
1397;53;Einkauf;0;6;0;60.1
1266;64;Vertrieb;11;10;29;92.3
708;30;Vertrieb;8;9;19;92.1
709;63;Produktion;14;11;16;92.5
808;27;Vertrieb;0;8;15;63.6
711;23;Finanzen;3;9;16;69.9
1022;51;Instandhaltung;6;6;26;84.8
1249;50;Finanzen;12;6;4;85.6
1415;42;Finanzen;11;10;18;82.9
1342;54;Instandhaltung;6;7;11;76.1
1473;25;Qualität;1;5;22;69.9
1291;53;Produktion;11;7;24;86.5
718;47;Qualität;4;9;33;75.3
838;49;Logistik;5;6;2;73.7
1106;22;Qualität;9;10;21;76.1
931;23;Vertrieb;1;13;4;57.9
722;18;Vertrieb;0;9;18;64.0
723;35;Finanzen;0;8;23;78.8
724;49;Vertrieb;2;10;13;61.2
725;64;Instandhaltung;13;9;4;77.5
1162;63;Finanzen;8;7;33;86.5
1367;29;Vertrieb;6;5;8;68.9
843;45;Vertrieb;0;11;2;65.7
729;42;Finanzen;4;7;29;83.9
730;39;Einkauf;1;7;8;65.1
1248;51;Einkauf;3;5;13;74.2
1272;31;Instandhaltung;2;4;30;73.9
733;50;Produktion;10;6;25;82.8
934;62;Einkauf;12;10;17;89.7
836;44;Finanzen;7;5;31;83.0
736;52;Produktion;8;12;17;67.5
737;18;Finanzen;1;8;19;67.7
738;38;Finanzen;12;5;31;99.6
1453;32;Einkauf;2;11;9;59.6
740;45;Finanzen;6;8;17;76.5
1331;56;Logistik;13;7;23;94.6
742;22;Vertrieb;7;14;0;74.5
1169;18;Vertrieb;10;7;22;81.4
1484;34;Einkauf;6;9;10;79.1
745;55;Qualität;1;7;3;50.2
746;20;Vertrieb;6;5;19;82.6
747;40;Vertrieb;11;7;30;88.4
1138;42;Instandhaltung;0;2;1;60.8
749;54;Vertrieb;3;8;2;66.7
750;27;Logistik;6;12;5;72.0
1494;60;Produktion;1;4;31;78.7
752;36;Vertrieb;12;6;6;78.2
753;34;Einkauf;3;8;0;66.7
754;38;Logistik;1;9;5;57.5
1395;22;Einkauf;11;12;7;77.1
1427;55;Finanzen;7;12;4;78.1
757;63;Logistik;6;6;28;84.0
758;18;Qualität;7;9;31;92.1
759;62;Einkauf;1;12;24;68.0
760;30;Finanzen;4;7;9;67.2
761;21;Vertrieb;0;14;34;75.7
929;58;Einkauf;3;4;4;69.3
1465;43;Qualität;0;10;26;75.5
764;49;Finanzen;12;8;31;92.9
965;55;Einkauf;9;11;30;88.0
1343;28;Finanzen;9;7;14;79.0
1305;37;Logistik;11;9;12;82.5
886;20;Einkauf;3;9;4;61.5
769;56;Produktion;14;10;16;90.8
770;43;Vertrieb;1;6;8;72.0
1387;53;Produktion;0;6;0;69.9
772;20;Finanzen;6;8;0;69.0
773;29;Einkauf;6;6;17;71.4
774;18;Finanzen;9;5;19;88.5
1274;63;Logistik;9;7;17;87.5
776;22;Qualität;9;4;27;78.9
777;47;Produktion;13;12;34;83.7
1226;33;Vertrieb;14;10;32;99.3
779;34;Qualität;1;9;20;59.5
780;64;Finanzen;0;7;12;66.3
781;40;Logistik;9;5;34;84.0
782;32;Produktion;7;5;31;85.8
783;54;Einkauf;14;7;5;90.3
784;38;Einkauf;7;6;12;73.7
785;31;Finanzen;0;7;12;57.8
786;19;Einkauf;11;9;11;86.4
940;23;Produktion;6;9;10;71.5
788;56;Qualität;7;6;27;86.4
789;55;Logistik;8;9;2;70.6
1233;19;Einkauf;3;8;19;75.6
791;55;Finanzen;3;5;25;70.5
792;51;Finanzen;0;9;1;58.5
793;35;Vertrieb;0;6;3;56.2
837;46;Einkauf;13;11;22;90.3
795;32;Qualität;14;6;27;82.1
796;44;Logistik;13;7;24;87.7
797;51;Instandhaltung;4;8;25;71.0
946;48;Einkauf;14;5;19;89.1
1004;37;Logistik;0;7;17;63.2
800;41;Logistik;9;5;29;82.2
