Produkt_ID;Produktname;Produktgruppe;Komplexitaet;Verkaufspreis;Standardkosten;Materialfaktor;Energiefaktor;Gewicht_kg;Gewinnmarge;Produktionsdauerfaktor;Ausschussfaktor
270;Produkt_270;Getriebeteile;2;105,28;58,22;1,3;1,2;8,8;0,22;1,24;1,16
271;Produkt_271;Metallkomponenten;4;131,23;103,55;1,6;1,4;20,16;0,43;1,48;1,32
272;Produkt_272;Metallkomponenten;1;96,66;70,98;1,15;1,1;14,52;0,47;1,12;1,08
273;Produkt_273;Metallkomponenten;5;173,77;110,92;1,75;1,5;13,06;0,48;1,6;1,4
274;Produkt_274;Sicherheitsbauteile;9;291,76;182,1;2,35;1,9;7,69;0,49;2,08;1,72
275;Produkt_275;Elektronik;1;80,14;51,08;1,15;1,1;23,33;0,33;1,12;1,08
276;Produkt_276;Elektronik;9;281,85;209,6;2,35;1,9;10,23;0,49;2,08;1,72
277;Produkt_277;Metallkomponenten;8;258,55;184,95;2,2;1,8;2,63;0,42;1,96;1,64
278;Produkt_278;Kunststoffteile;6;206,72;123,26;1,9;1,6;15,62;0,21;1,72;1,48
279;Produkt_279;Kunststoffteile;7;234,64;139,27;2,05;1,7;3,29;0,32;1,84;1,56
280;Produkt_280;Metallkomponenten;3;144,94;83,28;1,45;1,3;8,96;0,4;1,36;1,24
281;Produkt_281;Metallkomponenten;1;77,95;55,74;1,15;1,1;12,93;0,24;1,12;1,08
282;Produkt_282;Getriebeteile;5;185,64;137,57;1,75;1,5;21,92;0,37;1,6;1,4
283;Produkt_283;Elektronik;2;98,65;60,8;1,3;1,2;12,59;0,38;1,24;1,16
284;Produkt_284;Motorenteile;5;196,6;109,16;1,75;1,5;17,71;0,21;1,6;1,4
285;Produkt_285;Elektronik;8;239,85;136,85;2,2;1,8;24,82;0,35;1,96;1,64
286;Produkt_286;Motorenteile;9;302,01;239,18;2,35;1,9;3,72;0,42;2,08;1,72
287;Produkt_287;Elektronik;2;99,4;62,01;1,3;1,2;7,23;0,32;1,24;1,16
288;Produkt_288;Elektronik;3;103,54;76,86;1,45;1,3;10,17;0,15;1,36;1,24
289;Produkt_289;Getriebeteile;3;126,92;89,63;1,45;1,3;10,83;0,15;1,36;1,24
290;Produkt_290;Elektronik;1;64,78;41,82;1,15;1,1;10,57;0,27;1,12;1,08
291;Produkt_291;Motorenteile;8;262,61;157,94;2,2;1,8;22,74;0,47;1,96;1,64
292;Produkt_292;Motorenteile;6;190,21;110,39;1,9;1,6;17,99;0,23;1,72;1,48
293;Produkt_293;Metallkomponenten;8;243,31;171,23;2,2;1,8;15,39;0,37;1,96;1,64
294;Produkt_294;Elektronik;9;246,66;183,43;2,35;1,9;8,08;0,23;2,08;1,72
295;Produkt_295;Motorenteile;5;168,22;119,6;1,75;1,5;20,68;0,26;1,6;1,4
296;Produkt_296;Elektronik;3;88,64;60,5;1,45;1,3;23,9;0,45;1,36;1,24
297;Produkt_297;Metallkomponenten;5;151,24;84,77;1,75;1,5;20,62;0,41;1,6;1,4
298;Produkt_298;Getriebeteile;5;186,41;147,66;1,75;1,5;0,54;0,18;1,6;1,4
299;Produkt_299;Kunststoffteile;5;186,79;140,03;1,75;1,5;16,09;0,3;1,6;1,4
300;Produkt_300;Motorenteile;3;131,38;81,88;1,45;1,3;1,75;0,16;1,36;1,24
301;Produkt_301;Motorenteile;10;285,5;226,97;2,5;2,0;6,81;0,32;2,2;1,8
302;Produkt_302;Elektronik;4;149,28;104,57;1,6;1,4;1,96;0,38;1,48;1,32
303;Produkt_303;Elektronik;9;274,95;191,25;2,35;1,9;15,29;0,19;2,08;1,72
304;Produkt_304;Kunststoffteile;10;282,62;208,3;2,5;2,0;17,32;0,25;2,2;1,8
305;Produkt_305;Kunststoffteile;9;297,55;224,04;2,35;1,9;3,3;0,29;2,08;1,72
306;Produkt_306;Sicherheitsbauteile;2;113,16;80,81;1,3;1,2;9,9;0,47;1,24;1,16
307;Produkt_307;Elektronik;8;246,69;143,58;2,2;1,8;11,68;0,5;1,96;1,64
308;Produkt_308;Getriebeteile;8;250,4;158,9;2,2;1,8;9,54;0,17;1,96;1,64
309;Produkt_309;Metallkomponenten;7;228,13;178,4;2,05;1,7;3,47;0,42;1,84;1,56
310;Produkt_310;Getriebeteile;8;219,37;132,97;2,2;1,8;10,76;0,28;1,96;1,64
311;Produkt_311;Elektronik;3;121,29;78,0;1,45;1,3;18,9;0,29;1,36;1,24
312;Produkt_312;Motorenteile;6;189,77;124,87;1,9;1,6;2,24;0,41;1,72;1,48
313;Produkt_313;Motorenteile;1;59,98;39,58;1,15;1,1;2,46;0,47;1,12;1,08
314;Produkt_314;Sicherheitsbauteile;7;220,78;155,26;2,05;1,7;9,19;0,48;1,84;1,56
315;Produkt_315;Metallkomponenten;1;101,97;80,12;1,15;1,1;23,57;0,35;1,12;1,08
316;Produkt_316;Kunststoffteile;9;284,61;173,66;2,35;1,9;16,88;0,27;2,08;1,72
317;Produkt_317;Elektronik;1;66,43;38,56;1,15;1,1;17,13;0,43;1,12;1,08
318;Produkt_318;Motorenteile;1;83,59;50,1;1,15;1,1;9,37;0,24;1,12;1,08
319;Produkt_319;Motorenteile;7;245,99;189,84;2,05;1,7;15,04;0,35;1,84;1,56
320;Produkt_320;Getriebeteile;2;113,87;81,01;1,3;1,2;0,75;0,28;1,24;1,16
321;Produkt_321;Elektronik;5;175,89;109,31;1,75;1,5;16,08;0,38;1,6;1,4
322;Produkt_322;Kunststoffteile;8;240,3;181,18;2,2;1,8;22,88;0,23;1,96;1,64
323;Produkt_323;Kunststoffteile;8;260,47;199,35;2,2;1,8;15,51;0,22;1,96;1,64
324;Produkt_324;Getriebeteile;3;130,9;99,7;1,45;1,3;21,91;0,47;1,36;1,24
325;Produkt_325;Sicherheitsbauteile;7;238,43;185,91;2,05;1,7;18,24;0,19;1,84;1,56
326;Produkt_326;Kunststoffteile;3;134,53;82,47;1,45;1,3;3,45;0,33;1,36;1,24
327;Produkt_327;Elektronik;6;215,74;159,38;1,9;1,6;22,61;0,23;1,72;1,48
328;Produkt_328;Kunststoffteile;6;191,97;127,69;1,9;1,6;2,13;0,16;1,72;1,48
329;Produkt_329;Elektronik;3;144,76;110,09;1,45;1,3;13,58;0,16;1,36;1,24
330;Produkt_330;Getriebeteile;7;227,96;166,9;2,05;1,7;3,98;0,21;1,84;1,56
331;Produkt_331;Getriebeteile;3;156,13;116,18;1,45;1,3;0,79;0,45;1,36;1,24
332;Produkt_332;Metallkomponenten;8;239,66;171,13;2,2;1,8;10,84;0,25;1,96;1,64
333;Produkt_333;Motorenteile;10;326,04;193,78;2,5;2,0;7,73;0,48;2,2;1,8
334;Produkt_334;Motorenteile;4;152,97;104,98;1,6;1,4;12,41;0,35;1,48;1,32
335;Produkt_335;Motorenteile;1;65,23;51,93;1,15;1,1;14,64;0,3;1,12;1,08
336;Produkt_336;Motorenteile;4;142,74;111,96;1,6;1,4;1,57;0,35;1,48;1,32
337;Produkt_337;Metallkomponenten;7;220,19;123,48;2,05;1,7;3,51;0,33;1,84;1,56
338;Produkt_338;Kunststoffteile;4;156,36;92,44;1,6;1,4;14,19;0,42;1,48;1,32
339;Produkt_339;Elektronik;6;207,84;121,16;1,9;1,6;8,91;0,25;1,72;1,48
340;Produkt_340;Motorenteile;9;266,39;194,87;2,35;1,9;18,36;0,27;2,08;1,72
341;Produkt_341;Elektronik;1;74,63;56,31;1,15;1,1;16,48;0,46;1,12;1,08
342;Produkt_342;Elektronik;5;207,13;124,98;1,75;1,5;21,22;0,48;1,6;1,4
343;Produkt_343;Motorenteile;7;250,91;169,73;2,05;1,7;17,47;0,46;1,84;1,56
344;Produkt_344;Elektronik;1;81,54;61,99;1,15;1,1;11,03;0,3;1,12;1,08
345;Produkt_345;Elektronik;4;150,57;110,4;1,6;1,4;16,99;0,42;1,48;1,32
346;Produkt_346;Kunststoffteile;6;201,8;138,35;1,9;1,6;7,25;0,32;1,72;1,48
347;Produkt_347;Kunststoffteile;2;109,2;76,18;1,3;1,2;8,0;0,32;1,24;1,16
348;Produkt_348;Motorenteile;10;284,66;192,74;2,5;2,0;19,83;0,22;2,2;1,8
349;Produkt_349;Elektronik;5;171,14;106,86;1,75;1,5;11,44;0,36;1,6;1,4
350;Produkt_350;Kunststoffteile;10;274,97;190,08;2,5;2,0;20,06;0,22;2,2;1,8
351;Produkt_351;Elektronik;1;80,99;58,49;1,15;1,1;20,65;0,27;1,12;1,08
352;Produkt_352;Metallkomponenten;6;209,71;161,13;1,9;1,6;21,51;0,45;1,72;1,48
353;Produkt_353;Kunststoffteile;6;192,75;136,68;1,9;1,6;22,96;0,22;1,72;1,48
354;Produkt_354;Motorenteile;4;173,61;128,52;1,6;1,4;11,06;0,17;1,48;1,32
355;Produkt_355;Motorenteile;8;231,61;136,66;2,2;1,8;8,31;0,17;1,96;1,64
356;Produkt_356;Kunststoffteile;4;128,03;85,19;1,6;1,4;14,76;0,48;1,48;1,32
357;Produkt_357;Motorenteile;8;253,37;139,94;2,2;1,8;9,59;0,33;1,96;1,64
358;Produkt_358;Elektronik;8;265,71;162,52;2,2;1,8;15,23;0,29;1,96;1,64
359;Produkt_359;Sicherheitsbauteile;5;200,26;146,51;1,75;1,5;17,79;0,43;1,6;1,4
360;Produkt_360;Elektronik;4;143,12;114,2;1,6;1,4;17,37;0,44;1,48;1,32
361;Produkt_361;Elektronik;2;116,18;66,78;1,3;1,2;9,68;0,27;1,24;1,16
362;Produkt_362;Kunststoffteile;3;124,42;80,92;1,45;1,3;4,59;0,39;1,36;1,24
363;Produkt_363;Elektronik;3;122,41;91,81;1,45;1,3;11,05;0,42;1,36;1,24
364;Produkt_364;Elektronik;4;163,25;98,12;1,6;1,4;3,99;0,38;1,48;1,32
365;Produkt_365;Sicherheitsbauteile;4;159,78;110,06;1,6;1,4;22,31;0,2;1,48;1,32
366;Produkt_366;Elektronik;10;276,35;202,64;2,5;2,0;8,97;0,46;2,2;1,8
367;Produkt_367;Sicherheitsbauteile;5;197,15;138,79;1,75;1,5;4,28;0,34;1,6;1,4
368;Produkt_368;Sicherheitsbauteile;4;170,7;101,91;1,6;1,4;1,12;0,25;1,48;1,32
369;Produkt_369;Motorenteile;10;290,62;185,66;2,5;2,0;16,32;0,3;2,2;1,8
370;Produkt_370;Motorenteile;8;255,94;190,92;2,2;1,8;16,1;0,16;1,96;1,64
371;Produkt_371;Motorenteile;6;207,41;142,81;1,9;1,6;8,84;0,19;1,72;1,48
372;Produkt_372;Motorenteile;6;203,91;112,42;1,9;1,6;2,26;0,42;1,72;1,48
373;Produkt_373;Motorenteile;8;241,75;178,95;2,2;1,8;10,54;0,15;1,96;1,64
374;Produkt_374;Kunststoffteile;7;214,93;120,11;2,05;1,7;8,12;0,3;1,84;1,56
375;Produkt_375;Motorenteile;10;299,62;220,65;2,5;2,0;17,09;0,33;2,2;1,8
376;Produkt_376;Getriebeteile;10;317,59;190,75;2,5;2,0;15,34;0,17;2,2;1,8
377;Produkt_377;Metallkomponenten;8;258,15;203,82;2,2;1,8;9,43;0,49;1,96;1,64
378;Produkt_378;Motorenteile;2;94,44;60,63;1,3;1,2;5,84;0,23;1,24;1,16
379;Produkt_379;Metallkomponenten;9;286,58;181,04;2,35;1,9;24,71;0,26;2,08;1,72
380;Produkt_380;Getriebeteile;1;40,0;23,49;1,15;1,1;11,62;0,26;1,12;1,08
381;Produkt_381;Motorenteile;8;267,23;167,39;2,2;1,8;17,36;0,23;1,96;1,64
382;Produkt_382;Kunststoffteile;4;123,9;95,3;1,6;1,4;3,94;0,15;1,48;1,32
383;Produkt_383;Kunststoffteile;4;144,56;115,52;1,6;1,4;12,4;0,41;1,48;1,32
384;Produkt_384;Metallkomponenten;5;158,2;101,58;1,75;1,5;1,17;0,49;1,6;1,4
385;Produkt_385;Kunststoffteile;8;230,58;152,68;2,2;1,8;12,88;0,23;1,96;1,64
386;Produkt_386;Metallkomponenten;5;192,41;140,56;1,75;1,5;24,12;0,38;1,6;1,4
387;Produkt_387;Getriebeteile;8;242,98;187,47;2,2;1,8;9,91;0,41;1,96;1,64
388;Produkt_388;Motorenteile;10;305,2;213,11;2,5;2,0;1,46;0,45;2,2;1,8
389;Produkt_389;Metallkomponenten;1;74,3;48,14;1,15;1,1;1,26;0,3;1,12;1,08
390;Produkt_390;Metallkomponenten;10;307,16;200,62;2,5;2,0;10,01;0,26;2,2;1,8
391;Produkt_391;Sicherheitsbauteile;9;276,15;199,91;2,35;1,9;4,42;0,26;2,08;1,72
392;Produkt_392;Elektronik;6;180,76;99,56;1,9;1,6;1,07;0,4;1,72;1,48
393;Produkt_393;Elektronik;3;139,94;98,65;1,45;1,3;19,03;0,44;1,36;1,24
394;Produkt_394;Metallkomponenten;8;242,59;154,99;2,2;1,8;11,73;0,21;1,96;1,64
395;Produkt_395;Getriebeteile;9;251,65;188,37;2,35;1,9;7,59;0,28;2,08;1,72
396;Produkt_396;Sicherheitsbauteile;6;193,58;110,97;1,9;1,6;22,55;0,47;1,72;1,48
397;Produkt_397;Metallkomponenten;7;247,51;172,53;2,05;1,7;3,35;0,43;1,84;1,56
398;Produkt_398;Elektronik;1;87,75;58,82;1,15;1,1;23,92;0,49;1,12;1,08
399;Produkt_399;Metallkomponenten;5;169,77;120,64;1,75;1,5;8,19;0,41;1,6;1,4
400;Produkt_400;Metallkomponenten;5;169,76;96,12;1,75;1,5;22,27;0,29;1,6;1,4
401;Produkt_401;Motorenteile;10;295,18;205,15;2,5;2,0;15,27;0,36;2,2;1,8
402;Produkt_402;Sicherheitsbauteile;4;181,15;125,06;1,6;1,4;20,75;0,38;1,48;1,32
403;Produkt_403;Elektronik;6;205,73;141,99;1,9;1,6;24,61;0,18;1,72;1,48
404;Produkt_404;Metallkomponenten;7;231,45;162,22;2,05;1,7;7,57;0,34;1,84;1,56
405;Produkt_405;Getriebeteile;9;290,45;208,87;2,35;1,9;24,05;0,4;2,08;1,72
406;Produkt_406;Metallkomponenten;1;78,58;59,03;1,15;1,1;10,04;0,21;1,12;1,08
407;Produkt_407;Elektronik;6;196,11;121,09;1,9;1,6;9,95;0,42;1,72;1,48
408;Produkt_408;Motorenteile;7;222,05;167,93;2,05;1,7;8,84;0,35;1,84;1,56
409;Produkt_409;Sicherheitsbauteile;3;123,93;83,6;1,45;1,3;13,76;0,48;1,36;1,24
410;Produkt_410;Motorenteile;8;249,44;142,0;2,2;1,8;4,28;0,16;1,96;1,64
411;Produkt_411;Getriebeteile;5;185,91;104,97;1,75;1,5;14,07;0,24;1,6;1,4
412;Produkt_412;Sicherheitsbauteile;9;275,78;174,72;2,35;1,9;13,77;0,36;2,08;1,72
413;Produkt_413;Sicherheitsbauteile;5;185,99;138,79;1,75;1,5;19,17;0,25;1,6;1,4
414;Produkt_414;Elektronik;9;273,79;199,02;2,35;1,9;20,92;0,4;2,08;1,72
415;Produkt_415;Kunststoffteile;10;301,18;225,03;2,5;2,0;11,29;0,42;2,2;1,8
416;Produkt_416;Elektronik;4;120,03;81,54;1,6;1,4;7,91;0,19;1,48;1,32
417;Produkt_417;Getriebeteile;9;288,74;190,59;2,35;1,9;6,85;0,33;2,08;1,72
418;Produkt_418;Getriebeteile;5;180,2;105,75;1,75;1,5;5,27;0,33;1,6;1,4
419;Produkt_419;Kunststoffteile;10;314,97;199,08;2,5;2,0;1,91;0,28;2,2;1,8
420;Produkt_420;Metallkomponenten;9;231,56;152,48;2,35;1,9;8,89;0,48;2,08;1,72
421;Produkt_421;Metallkomponenten;3;156,33;89,44;1,45;1,3;7,12;0,44;1,36;1,24
422;Produkt_422;Metallkomponenten;4;147,91;89,51;1,6;1,4;24,18;0,39;1,48;1,32
423;Produkt_423;Motorenteile;9;291,62;204,01;2,35;1,9;14,16;0,4;2,08;1,72
424;Produkt_424;Elektronik;10;284,4;208,73;2,5;2,0;9,01;0,31;2,2;1,8
425;Produkt_425;Motorenteile;6;209,19;167,27;1,9;1,6;14,72;0,47;1,72;1,48
426;Produkt_426;Elektronik;2;84,2;65,95;1,3;1,2;3,91;0,39;1,24;1,16
427;Produkt_427;Elektronik;7;215,64;153,25;2,05;1,7;11,38;0,41;1,84;1,56
428;Produkt_428;Metallkomponenten;2;128,71;84,35;1,3;1,2;15,84;0,45;1,24;1,16
429;Produkt_429;Getriebeteile;2;97,14;68,88;1,3;1,2;12,48;0,25;1,24;1,16
430;Produkt_430;Motorenteile;1;78,26;58,42;1,15;1,1;10,34;0,43;1,12;1,08
431;Produkt_431;Motorenteile;3;138,05;80,01;1,45;1,3;24,85;0,22;1,36;1,24
432;Produkt_432;Metallkomponenten;6;207,44;135,35;1,9;1,6;22,07;0,27;1,72;1,48
433;Produkt_433;Kunststoffteile;8;252,26;191,7;2,2;1,8;15,77;0,27;1,96;1,64
434;Produkt_434;Motorenteile;9;280,47;181,17;2,35;1,9;14,45;0,49;2,08;1,72
435;Produkt_435;Motorenteile;7;261,05;180,9;2,05;1,7;15,71;0,45;1,84;1,56
436;Produkt_436;Kunststoffteile;4;149,14;103,94;1,6;1,4;5,43;0,4;1,48;1,32
437;Produkt_437;Motorenteile;6;203,02;121,02;1,9;1,6;10,18;0,4;1,72;1,48
438;Produkt_438;Metallkomponenten;5;190,76;122,19;1,75;1,5;1,47;0,35;1,6;1,4
439;Produkt_439;Kunststoffteile;8;266,58;168,91;2,2;1,8;12,15;0,48;1,96;1,64
440;Produkt_440;Motorenteile;1;92,81;51,65;1,15;1,1;13,8;0,32;1,12;1,08
441;Produkt_441;Motorenteile;1;84,58;47,03;1,15;1,1;6,08;0,28;1,12;1,08
442;Produkt_442;Sicherheitsbauteile;6;182,85;138,59;1,9;1,6;24,12;0,21;1,72;1,48
443;Produkt_443;Elektronik;10;324,5;200,63;2,5;2,0;22,78;0,43;2,2;1,8
444;Produkt_444;Elektronik;2;82,8;56,27;1,3;1,2;18,19;0,41;1,24;1,16
445;Produkt_445;Metallkomponenten;5;179,54;112,16;1,75;1,5;13,57;0,28;1,6;1,4
446;Produkt_446;Sicherheitsbauteile;1;63,69;50,0;1,15;1,1;21,81;0,16;1,12;1,08
447;Produkt_447;Sicherheitsbauteile;7;224,04;137,74;2,05;1,7;3,7;0,44;1,84;1,56
448;Produkt_448;Metallkomponenten;1;79,93;52,55;1,15;1,1;19,87;0,15;1,12;1,08
449;Produkt_449;Elektronik;4;154,82;118,93;1,6;1,4;3,56;0,4;1,48;1,32
450;Produkt_450;Motorenteile;9;281,33;213,95;2,35;1,9;19,96;0,49;2,08;1,72
451;Produkt_451;Metallkomponenten;1;99,21;59,18;1,15;1,1;7,26;0,3;1,12;1,08
452;Produkt_452;Elektronik;4;156,8;117,71;1,6;1,4;21,99;0,23;1,48;1,32
453;Produkt_453;Elektronik;6;196,34;130,48;1,9;1,6;23,63;0,4;1,72;1,48
454;Produkt_454;Sicherheitsbauteile;6;214,46;143,85;1,9;1,6;4,15;0,44;1,72;1,48
455;Produkt_455;Motorenteile;8;267,84;156,25;2,2;1,8;11,84;0,34;1,96;1,64
456;Produkt_456;Elektronik;1;56,59;32,26;1,15;1,1;24,53;0,49;1,12;1,08
457;Produkt_457;Motorenteile;7;233,96;171,26;2,05;1,7;12,34;0,17;1,84;1,56
458;Produkt_458;Elektronik;1;85,52;57,65;1,15;1,1;21,66;0,33;1,12;1,08
459;Produkt_459;Motorenteile;7;220,54;145,38;2,05;1,7;14,92;0,4;1,84;1,56
460;Produkt_460;Motorenteile;3;145,64;106,66;1,45;1,3;9,7;0,45;1,36;1,24
461;Produkt_461;Motorenteile;8;247,75;183,68;2,2;1,8;7,5;0,21;1,96;1,64
462;Produkt_462;Kunststoffteile;3;126,88;74,83;1,45;1,3;5,48;0,43;1,36;1,24
463;Produkt_463;Metallkomponenten;1;72,4;50,87;1,15;1,1;19,16;0,34;1,12;1,08
464;Produkt_464;Elektronik;8;250,23;146,1;2,2;1,8;9,97;0,29;1,96;1,64
465;Produkt_465;Sicherheitsbauteile;3;108,56;80,1;1,45;1,3;13,03;0,2;1,36;1,24
466;Produkt_466;Elektronik;2;78,4;56,0;1,3;1,2;12,56;0,45;1,24;1,16
467;Produkt_467;Getriebeteile;1;98,92;78,06;1,15;1,1;14,64;0,21;1,12;1,08
468;Produkt_468;Metallkomponenten;3;112,3;63,7;1,45;1,3;21,71;0,26;1,36;1,24
469;Produkt_469;Getriebeteile;2;85,13;48,04;1,3;1,2;24,53;0,25;1,24;1,16
470;Produkt_470;Sicherheitsbauteile;2;67,7;42,01;1,3;1,2;10,49;0,45;1,24;1,16
471;Produkt_471;Motorenteile;6;190,42;117,19;1,9;1,6;20,77;0,39;1,72;1,48
472;Produkt_472;Sicherheitsbauteile;1;55,15;33,74;1,15;1,1;19,23;0,43;1,12;1,08
473;Produkt_473;Motorenteile;2;124,63;96,78;1,3;1,2;14,55;0,24;1,24;1,16
474;Produkt_474;Metallkomponenten;6;215,15;131,75;1,9;1,6;23,92;0,37;1,72;1,48
475;Produkt_475;Elektronik;3;114,68;70,87;1,45;1,3;5,41;0,35;1,36;1,24
476;Produkt_476;Sicherheitsbauteile;4;183,79;135,97;1,6;1,4;3,18;0,44;1,48;1,32
477;Produkt_477;Motorenteile;1;89,73;59,44;1,15;1,1;21,42;0,47;1,12;1,08
478;Produkt_478;Elektronik;8;245,13;182,42;2,2;1,8;11,26;0,15;1,96;1,64
479;Produkt_479;Sicherheitsbauteile;7;187,51;106,19;2,05;1,7;21,25;0,39;1,84;1,56
480;Produkt_480;Elektronik;7;259,36;174,26;2,05;1,7;22,38;0,17;1,84;1,56
481;Produkt_481;Kunststoffteile;3;104,16;58,16;1,45;1,3;2,03;0,34;1,36;1,24
482;Produkt_482;Kunststoffteile;10;275,32;155,74;2,5;2,0;22,14;0,25;2,2;1,8
483;Produkt_483;Elektronik;10;315,34;244,89;2,5;2,0;11,48;0,26;2,2;1,8
484;Produkt_484;Kunststoffteile;3;161,6;94,5;1,45;1,3;13,01;0,27;1,36;1,24
485;Produkt_485;Elektronik;2;120,76;82,49;1,3;1,2;15,85;0,37;1,24;1,16
486;Produkt_486;Sicherheitsbauteile;1;83,46;54,48;1,15;1,1;23,2;0,27;1,12;1,08
487;Produkt_487;Motorenteile;7;233,92;148,97;2,05;1,7;0,97;0,41;1,84;1,56
488;Produkt_488;Getriebeteile;7;237,8;184,29;2,05;1,7;12,18;0,29;1,84;1,56
489;Produkt_489;Sicherheitsbauteile;2;111,38;61,87;1,3;1,2;17,35;0,17;1,24;1,16
490;Produkt_490;Metallkomponenten;7;229,22;164,11;2,05;1,7;18,21;0,42;1,84;1,56
491;Produkt_491;Elektronik;8;251,56;198,95;2,2;1,8;17,47;0,25;1,96;1,64
492;Produkt_492;Kunststoffteile;1;74,06;51,11;1,15;1,1;3,79;0,3;1,12;1,08
493;Produkt_493;Getriebeteile;9;263,69;206,79;2,35;1,9;7,84;0,39;2,08;1,72
494;Produkt_494;Motorenteile;7;220,79;124,32;2,05;1,7;9,29;0,27;1,84;1,56
495;Produkt_495;Elektronik;3;99,61;65,21;1,45;1,3;20,21;0,17;1,36;1,24
496;Produkt_496;Getriebeteile;8;248,52;152,85;2,2;1,8;7,33;0,28;1,96;1,64
497;Produkt_497;Elektronik;7;210,17;153,99;2,05;1,7;5,66;0,48;1,84;1,56
498;Produkt_498;Motorenteile;8;233,45;185,67;2,2;1,8;23,96;0,37;1,96;1,64
499;Produkt_499;Sicherheitsbauteile;6;202,7;124,48;1,9;1,6;0,72;0,39;1,72;1,48
500;Produkt_500;Sicherheitsbauteile;9;295,88;211,12;2,35;1,9;24,95;0,37;2,08;1,72
