Datum;Jahr;Quartal;Monat;Monatsname;KW;Wochentag;Wochenende
2024-01-09;2024;1;1;January;2;Tuesday;False
2021-07-13;2021;3;7;July;28;Tuesday;False
2024-01-28;2024;1;1;January;4;Sunday;True
2022-07-02;2022;3;7;July;26;Saturday;True
2024-02-19;2024;1;2;February;8;Monday;False
2023-01-09;2023;1;1;January;2;Monday;False
2022-09-10;2022;3;9;September;36;Saturday;True
2023-09-19;2023;3;9;September;38;Tuesday;False
2024-07-17;2024;3;7;July;29;Wednesday;False
2025-09-05;2025;3;9;September;36;Friday;False
2025-10-05;2025;4;10;October;40;Sunday;True
2023-06-16;2023;2;6;June;24;Friday;False
2024-12-10;2024;4;12;December;50;Tuesday;False
2021-07-25;2021;3;7;July;29;Sunday;True
2024-09-05;2024;3;9;September;36;Thursday;False
2023-03-15;2023;1;3;March;11;Wednesday;False
2024-10-23;2024;4;10;October;43;Wednesday;False
2025-08-09;2025;3;8;August;32;Saturday;True
2021-07-30;2021;3;7;July;30;Friday;False
2022-12-23;2022;4;12;December;51;Friday;False
2021-08-01;2021;3;8;August;30;Sunday;True
2024-03-23;2024;1;3;March;12;Saturday;True
2021-08-03;2021;3;8;August;31;Tuesday;False
2021-08-04;2021;3;8;August;31;Wednesday;False
2023-04-27;2023;2;4;April;17;Thursday;False
2023-12-02;2023;4;12;December;48;Saturday;True
2021-08-07;2021;3;8;August;31;Saturday;True
2024-05-14;2024;2;5;May;20;Tuesday;False
2023-05-29;2023;2;5;May;22;Monday;False
2021-08-10;2021;3;8;August;32;Tuesday;False
2021-08-11;2021;3;8;August;32;Wednesday;False
2022-11-12;2022;4;11;November;45;Saturday;True
2025-10-23;2025;4;10;October;43;Thursday;False
2023-07-13;2023;3;7;July;28;Thursday;False
2025-12-03;2025;4;12;December;49;Wednesday;False
2025-10-07;2025;4;10;October;41;Tuesday;False
2025-03-05;2025;1;3;March;10;Wednesday;False
2024-07-29;2024;3;7;July;31;Monday;False
2025-10-29;2025;4;10;October;44;Wednesday;False
2021-08-20;2021;3;8;August;33;Friday;False
2024-03-09;2024;1;3;March;10;Saturday;True
2023-11-18;2023;4;11;November;46;Saturday;True
2024-05-06;2024;2;5;May;19;Monday;False
2024-08-19;2024;3;8;August;34;Monday;False
2024-02-26;2024;1;2;February;9;Monday;False
2024-07-09;2024;3;7;July;28;Tuesday;False
2024-08-26;2024;3;8;August;35;Monday;False
2025-04-04;2025;2;4;April;14;Friday;False
2021-08-29;2021;3;8;August;34;Sunday;True
2024-04-07;2024;2;4;April;14;Sunday;True
2023-05-19;2023;2;5;May;20;Friday;False
2025-05-29;2025;2;5;May;22;Thursday;False
2023-02-26;2023;1;2;February;8;Sunday;True
2025-12-28;2025;4;12;December;52;Sunday;True
2025-11-29;2025;4;11;November;48;Saturday;True
2025-04-13;2025;2;4;April;15;Sunday;True
2025-07-27;2025;3;7;July;30;Sunday;True
2023-10-19;2023;4;10;October;42;Thursday;False
2024-12-13;2024;4;12;December;50;Friday;False
2023-11-11;2023;4;11;November;45;Saturday;True
2021-09-10;2021;3;9;September;36;Friday;False
2021-09-11;2021;3;9;September;36;Saturday;True
2021-09-12;2021;3;9;September;36;Sunday;True
2022-10-05;2022;4;10;October;40;Wednesday;False
2025-08-26;2025;3;8;August;35;Tuesday;False
2025-01-21;2025;1;1;January;4;Tuesday;False
2023-01-23;2023;1;1;January;4;Monday;False
2021-09-17;2021;3;9;September;37;Friday;False
2021-09-18;2021;3;9;September;37;Saturday;True
2025-06-17;2025;2;6;June;25;Tuesday;False
2022-05-14;2022;2;5;May;19;Saturday;True
2023-02-24;2023;1;2;February;8;Friday;False
2022-09-25;2022;3;9;September;38;Sunday;True
2023-08-13;2023;3;8;August;32;Sunday;True
2025-05-16;2025;2;5;May;20;Friday;False
2024-06-01;2024;2;6;June;22;Saturday;True
2025-09-14;2025;3;9;September;37;Sunday;True
2024-07-26;2024;3;7;July;30;Friday;False
2024-02-13;2024;1;2;February;7;Tuesday;False
2021-09-29;2021;3;9;September;39;Wednesday;False
2024-05-03;2024;2;5;May;18;Friday;False
2021-10-01;2021;4;10;October;39;Friday;False
2023-10-16;2023;4;10;October;42;Monday;False
2021-10-03;2021;4;10;October;39;Sunday;True
2021-10-04;2021;4;10;October;40;Monday;False
2021-10-05;2021;4;10;October;40;Tuesday;False
2023-05-27;2023;2;5;May;21;Saturday;True
2023-09-03;2023;3;9;September;35;Sunday;True
2023-10-23;2023;4;10;October;43;Monday;False
2023-05-31;2023;2;5;May;22;Wednesday;False
2022-03-26;2022;1;3;March;12;Saturday;True
2021-10-11;2021;4;10;October;41;Monday;False
2024-07-02;2024;3;7;July;27;Tuesday;False
2022-06-17;2022;2;6;June;24;Friday;False
2024-09-25;2024;3;9;September;39;Wednesday;False
2021-10-15;2021;4;10;October;41;Friday;False
2021-10-16;2021;4;10;October;41;Saturday;True
2025-03-17;2025;1;3;March;12;Monday;False
2023-02-22;2023;1;2;February;8;Wednesday;False
2022-10-11;2022;4;10;October;41;Tuesday;False
2024-07-28;2024;3;7;July;30;Sunday;True
2021-10-21;2021;4;10;October;42;Thursday;False
2025-08-24;2025;3;8;August;34;Sunday;True
2022-06-01;2022;2;6;June;22;Wednesday;False
2024-07-19;2024;3;7;July;29;Friday;False
2025-02-08;2025;1;2;February;6;Saturday;True
2021-10-26;2021;4;10;October;43;Tuesday;False
2021-10-27;2021;4;10;October;43;Wednesday;False
2022-09-07;2022;3;9;September;36;Wednesday;False
2024-06-25;2024;2;6;June;26;Tuesday;False
2021-10-30;2021;4;10;October;43;Saturday;True
2023-06-09;2023;2;6;June;23;Friday;False
2021-11-01;2021;4;11;November;44;Monday;False
2025-07-31;2025;3;7;July;31;Thursday;False
2024-03-02;2024;1;3;March;9;Saturday;True
2024-08-13;2024;3;8;August;33;Tuesday;False
2021-11-05;2021;4;11;November;44;Friday;False
2021-11-06;2021;4;11;November;44;Saturday;True
2021-11-07;2021;4;11;November;44;Sunday;True
2024-01-19;2024;1;1;January;3;Friday;False
2025-06-25;2025;2;6;June;26;Wednesday;False
2021-11-10;2021;4;11;November;45;Wednesday;False
2024-03-26;2024;1;3;March;13;Tuesday;False
2021-11-12;2021;4;11;November;45;Friday;False
2023-12-03;2023;4;12;December;48;Sunday;True
2023-05-17;2023;2;5;May;20;Wednesday;False
2021-11-15;2021;4;11;November;46;Monday;False
2023-09-22;2023;3;9;September;38;Friday;False
2025-09-19;2025;3;9;September;38;Friday;False
2021-11-18;2021;4;11;November;46;Thursday;False
2025-10-30;2025;4;10;October;44;Thursday;False
2021-11-20;2021;4;11;November;46;Saturday;True
2022-05-16;2022;2;5;May;20;Monday;False
2023-05-18;2023;2;5;May;20;Thursday;False
2025-04-01;2025;2;4;April;14;Tuesday;False
2021-11-24;2021;4;11;November;47;Wednesday;False
2022-04-12;2022;2;4;April;15;Tuesday;False
2021-11-26;2021;4;11;November;47;Friday;False
2022-09-02;2022;3;9;September;35;Friday;False
2023-05-28;2023;2;5;May;21;Sunday;True
2025-02-02;2025;1;2;February;5;Sunday;True
2021-11-30;2021;4;11;November;48;Tuesday;False
2022-08-07;2022;3;8;August;31;Sunday;True
2023-02-04;2023;1;2;February;5;Saturday;True
2023-10-05;2023;4;10;October;40;Thursday;False
2024-08-25;2024;3;8;August;34;Sunday;True
2021-12-05;2021;4;12;December;48;Sunday;True
2021-12-06;2021;4;12;December;49;Monday;False
2021-12-07;2021;4;12;December;49;Tuesday;False
2021-12-08;2021;4;12;December;49;Wednesday;False
2024-08-05;2024;3;8;August;32;Monday;False
2025-02-15;2025;1;2;February;7;Saturday;True
2024-05-22;2024;2;5;May;21;Wednesday;False
2021-12-12;2021;4;12;December;49;Sunday;True
2025-08-10;2025;3;8;August;32;Sunday;True
2021-12-14;2021;4;12;December;50;Tuesday;False
2022-12-13;2022;4;12;December;50;Tuesday;False
2024-08-10;2024;3;8;August;32;Saturday;True
2022-04-19;2022;2;4;April;16;Tuesday;False
2024-04-13;2024;2;4;April;15;Saturday;True
2025-03-27;2025;1;3;March;13;Thursday;False
2021-12-20;2021;4;12;December;51;Monday;False
2025-11-14;2025;4;11;November;46;Friday;False
2025-09-24;2025;3;9;September;39;Wednesday;False
2025-06-26;2025;2;6;June;26;Thursday;False
2024-03-18;2024;1;3;March;12;Monday;False
2021-12-25;2021;4;12;December;51;Saturday;True
2024-02-07;2024;1;2;February;6;Wednesday;False
2021-12-27;2021;4;12;December;52;Monday;False
2024-04-20;2024;2;4;April;16;Saturday;True
2022-06-15;2022;2;6;June;24;Wednesday;False
2021-12-30;2021;4;12;December;52;Thursday;False
2025-05-26;2025;2;5;May;22;Monday;False
2025-11-22;2025;4;11;November;47;Saturday;True
2022-01-02;2022;1;1;January;52;Sunday;True
2023-06-22;2023;2;6;June;25;Thursday;False
2022-01-04;2022;1;1;January;1;Tuesday;False
2022-08-22;2022;3;8;August;34;Monday;False
2024-07-10;2024;3;7;July;28;Wednesday;False
2022-01-07;2022;1;1;January;1;Friday;False
2022-01-08;2022;1;1;January;1;Saturday;True
2025-10-01;2025;4;10;October;40;Wednesday;False
2025-07-25;2025;3;7;July;30;Friday;False
2024-06-12;2024;2;6;June;24;Wednesday;False
2022-01-12;2022;1;1;January;2;Wednesday;False
2024-01-12;2024;1;1;January;2;Friday;False
2024-04-15;2024;2;4;April;16;Monday;False
2022-01-15;2022;1;1;January;2;Saturday;True
2022-07-08;2022;3;7;July;27;Friday;False
2022-10-21;2022;4;10;October;42;Friday;False
2022-01-18;2022;1;1;January;3;Tuesday;False
2022-01-19;2022;1;1;January;3;Wednesday;False
2023-02-18;2023;1;2;February;7;Saturday;True
2022-01-21;2022;1;1;January;3;Friday;False
2023-06-05;2023;2;6;June;23;Monday;False
2022-01-23;2022;1;1;January;3;Sunday;True
2022-12-05;2022;4;12;December;49;Monday;False
2022-01-25;2022;1;1;January;4;Tuesday;False
2024-05-21;2024;2;5;May;21;Tuesday;False
2022-04-03;2022;2;4;April;13;Sunday;True
2024-12-29;2024;4;12;December;52;Sunday;True
2024-12-22;2024;4;12;December;51;Sunday;True
2023-09-15;2023;3;9;September;37;Friday;False
2022-12-10;2022;4;12;December;49;Saturday;True
2025-11-26;2025;4;11;November;48;Wednesday;False
2022-02-02;2022;1;2;February;5;Wednesday;False
2022-02-03;2022;1;2;February;5;Thursday;False
2022-02-04;2022;1;2;February;5;Friday;False
2024-01-23;2024;1;1;January;4;Tuesday;False
2022-05-06;2022;2;5;May;18;Friday;False
2023-10-07;2023;4;10;October;40;Saturday;True
2022-02-08;2022;1;2;February;6;Tuesday;False
2022-02-09;2022;1;2;February;6;Wednesday;False
2025-01-15;2025;1;1;January;3;Wednesday;False
2024-01-06;2024;1;1;January;1;Saturday;True
2022-02-12;2022;1;2;February;6;Saturday;True
2024-04-21;2024;2;4;April;16;Sunday;True
2023-03-11;2023;1;3;March;10;Saturday;True
2022-07-18;2022;3;7;July;29;Monday;False
2022-09-08;2022;3;9;September;36;Thursday;False
2023-06-28;2023;2;6;June;26;Wednesday;False
2022-02-18;2022;1;2;February;7;Friday;False
2024-10-27;2024;4;10;October;43;Sunday;True
2024-08-23;2024;3;8;August;34;Friday;False
2022-02-21;2022;1;2;February;8;Monday;False
2024-11-14;2024;4;11;November;46;Thursday;False
2025-10-20;2025;4;10;October;43;Monday;False
2022-02-24;2022;1;2;February;8;Thursday;False
2022-05-02;2022;2;5;May;18;Monday;False
2023-07-23;2023;3;7;July;29;Sunday;True
2022-02-27;2022;1;2;February;8;Sunday;True
2022-02-28;2022;1;2;February;9;Monday;False
2022-03-01;2022;1;3;March;9;Tuesday;False
2024-11-05;2024;4;11;November;45;Tuesday;False
2024-01-30;2024;1;1;January;5;Tuesday;False
2023-08-24;2023;3;8;August;34;Thursday;False
2022-03-05;2022;1;3;March;9;Saturday;True
2025-01-17;2025;1;1;January;3;Friday;False
2022-03-07;2022;1;3;March;10;Monday;False
2025-04-30;2025;2;4;April;18;Wednesday;False
2023-09-29;2023;3;9;September;39;Friday;False
2024-07-05;2024;3;7;July;27;Friday;False
